,url,category,comment,hate_towards_whom,label,id
0,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,"well duuhh!!! Indians cant act,, Bollywood much???",Community,yes,ba26fdaf-d1a9-4d87-9ef7-a3fde855eeb5
1,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,"Well, the Indians can't act, Bollywood can't do much??",Community,yes,b6049cfa-b1f8-413d-a5d9-4ac65a37d058
2,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,Tell us about the food restrictions going on and how they are destroying crops,"Community,Location",yes,2c25e9c9-5318-4883-ab2d-3deccd119794
3,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about food restrictions and how they are destroying crops,"Community,Location",yes,047ef0e2-2bb2-4c5f-8b53-baa58e5874a7
4,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about the food restrictions that are going on and how they are destroying crops,"Community,Location",yes,c16f0090-a8d5-42ed-b6ba-18abad9d6baf
5,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about the food restrictions going on and how they are destroying the crops,"Community,Location",yes,011a4d55-8422-4c12-80c6-d7da29b636c7
6,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics, Tell us about current food restrictions and how they destroy crops,"Community,Location",yes,2df623a9-4368-4d90-a6cf-a9f250d68f56
7,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about food restrictions and how they destroy crops,"Community,Location",yes,bfd99f09-d263-4d17-b0d7-1cd98d54f76a
8,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about the current food restrictions and how they destroy crops?,"Community,Location",yes,c2eb5dc6-9d70-419f-a923-ca523d540f66
9,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us the current food restrictions and how they destroy crops,"Community,Location",yes,8d474a88-cbd2-4fda-8490-781d0e6c1267
10,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about current food restrictions and how they destroy the crops,"Community,Location",yes,baff86bc-5215-4811-ac56-b3ced8280c96
11,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about the current food restrictions and how they destroy crops,"Community,Location",yes,84b77249-5179-4f3f-a0cd-70c753a632c9
12,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about current food restrictions and how they destroy crops?,"Community,Location",yes,93191e09-d398-4afa-a3a9-08fcf326313c
13,https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about current food restrictions and how they destroy crops,"Community,Location",yes,59cc8304-bd1b-4452-8df4-3241ab56d761
14,https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,This is what happens when a man wears a scarf,"Community,Individual",yes,1542dc20-adfa-4d8b-98b1-5e9a7406cafe
15,https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,it happens when a man wears a scarf,"Community,Individual",yes,e56b59ed-ccdc-48c0-a607-63a6c6aad8a0
16,https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,this happens when a man wears a scarf,"Community,Individual",yes,1fa24a06-87cc-4de9-91f7-1d6d6ae607ca
17,https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,♪ That's what happens when a man wears a scarf ♪,"Community,Individual",yes,5d64e487-4a55-4a79-b33d-4980fd12986a
18,https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,so it happens when a man wears a scarf,"Community,Individual",yes,51b7382b-b6ab-495d-b995-c42953a23d2e
