Namespace(add_comment=True, add_description=False, add_other_comments=False, add_title=False, add_transcription=True, add_video=False, batch_size=8, clip_embeedings_path='data/CLIP_embeddings', debug=False, desc_keyphrase_extract=False, desc_token_count=100, freeze_lf_layers=23, gpu='5', lr=0.0003, max_epochs=30, max_len=512, metadata_path='data/extra_data_trans.csv', model='bert-large-cased', multitask=False, num_workers=0, other_comments_path='data/extra_data_other_comments.csv', other_comments_token_count=300, pad_metadata=True, remove_none=False, test_question_file='data/with_aug_ttv/test.csv', title_token_count=50, train_question_file='data/with_aug_ttv/train.csv', transcript_keyphrase_extract=True, transcript_token_count=512, validation_question_file='data/with_aug_ttv/eval.csv', video_path='data/videos/', work_dir='model_comment/')
wandb: Currently logged in as: shrey2809 (is_project). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.15.4
wandb: Run data is saved locally in /scratch/AzureNfsServer_INPUT1/vc_data/users/gmanish/multiModalHate/IS-Hate-Speech/wandb/run-20230612_181636-s8ny1nsa
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run playful-jazz-265
wandb: ⭐️ View project at https://wandb.ai/is_project/vision_models
wandb: 🚀 View run at https://wandb.ai/is_project/vision_models/runs/s8ny1nsa
number of available devices: 1
obtained dataloaders
Some weights of the model checkpoint at bert-large-cased were not used when initializing BertModel: ['cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
loaded models
Train Epoch-0   Iter-0  /706	loss 0.7206 (0.7206)	accu 0.375 (0.375)	
Train Epoch-0   Iter-25 /706	loss 0.4963 (0.6937)	accu 0.750 (0.548)	
Train Epoch-0   Iter-50 /706	loss 0.4490 (0.6693)	accu 0.625 (0.591)	
Train Epoch-0   Iter-75 /706	loss 0.3322 (0.6219)	accu 0.750 (0.655)	
Train Epoch-0   Iter-100/706	loss 1.0334 (0.5960)	accu 0.500 (0.671)	
Train Epoch-0   Iter-125/706	loss 0.4971 (0.5878)	accu 0.750 (0.688)	
Train Epoch-0   Iter-150/706	loss 0.4975 (0.5725)	accu 0.750 (0.698)	
Train Epoch-0   Iter-175/706	loss 0.2005 (0.5655)	accu 1.000 (0.701)	
Train Epoch-0   Iter-200/706	loss 0.2173 (0.5420)	accu 0.875 (0.719)	
Train Epoch-0   Iter-225/706	loss 0.2301 (0.5206)	accu 0.875 (0.732)	
Train Epoch-0   Iter-250/706	loss 0.2159 (0.4993)	accu 0.875 (0.747)	
Train Epoch-0   Iter-275/706	loss 0.5641 (0.4863)	accu 0.750 (0.754)	
Train Epoch-0   Iter-300/706	loss 0.8020 (0.4782)	accu 0.625 (0.760)	
Train Epoch-0   Iter-325/706	loss 0.4202 (0.4717)	accu 0.875 (0.765)	
Train Epoch-0   Iter-350/706	loss 0.1854 (0.4679)	accu 1.000 (0.770)	
Train Epoch-0   Iter-375/706	loss 0.4405 (0.4704)	accu 0.875 (0.771)	
Train Epoch-0   Iter-400/706	loss 0.5189 (0.4741)	accu 0.875 (0.772)	
Train Epoch-0   Iter-425/706	loss 0.8907 (0.4709)	accu 0.625 (0.778)	
Train Epoch-0   Iter-450/706	loss 0.5551 (0.4770)	accu 0.750 (0.773)	
Train Epoch-0   Iter-475/706	loss 0.4774 (0.4756)	accu 0.750 (0.776)	
Train Epoch-0   Iter-500/706	loss 0.6197 (0.4750)	accu 0.750 (0.776)	
Train Epoch-0   Iter-525/706	loss 0.3742 (0.4703)	accu 0.875 (0.780)	
