Namespace(add_comment=True, add_description=True, add_other_comments=False, add_title=False, add_transcription=False, add_video=False, batch_size=8, clip_embeedings_path='data/CLIP_embeddings', debug=False, desc_keyphrase_extract=True, desc_token_count=512, freeze_lf_layers=23, gpu='3', lr=0.0003, max_epochs=30, max_len=512, metadata_path='data/extra_data_trans.csv', model='bert-large-cased', multitask=False, num_workers=0, other_comments_path='data/extra_data_other_comments.csv', other_comments_token_count=300, pad_metadata=True, remove_none=False, test_question_file='data/with_aug_ttv/test.csv', title_token_count=50, train_question_file='data/with_aug_ttv/train.csv', transcript_keyphrase_extract=False, transcript_token_count=300, validation_question_file='data/with_aug_ttv/eval.csv', video_path='data/videos/', work_dir='model_comment/')
wandb: Currently logged in as: shrey2809 (is_project). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.15.4
wandb: Run data is saved locally in /scratch/AzureNfsServer_INPUT1/vc_data/users/gmanish/multiModalHate/IS-Hate-Speech/wandb/run-20230612_181636-bevjw755
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ruby-firefly-262
wandb: ⭐️ View project at https://wandb.ai/is_project/vision_models
wandb: 🚀 View run at https://wandb.ai/is_project/vision_models/runs/bevjw755
number of available devices: 1
obtained dataloaders
Some weights of the model checkpoint at bert-large-cased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
loaded models
Train Epoch-0   Iter-0  /706	loss 0.7999 (0.7999)	accu 0.250 (0.250)	
Train Epoch-0   Iter-25 /706	loss 0.7056 (0.6708)	accu 0.625 (0.606)	
Train Epoch-0   Iter-50 /706	loss 0.6064 (0.6788)	accu 0.750 (0.578)	
Train Epoch-0   Iter-75 /706	loss 0.6431 (0.6934)	accu 0.875 (0.544)	
Train Epoch-0   Iter-100/706	loss 0.7142 (0.6945)	accu 0.250 (0.552)	
Train Epoch-0   Iter-125/706	loss 0.7289 (0.6943)	accu 0.500 (0.548)	
Train Epoch-0   Iter-150/706	loss 0.5417 (0.6897)	accu 0.750 (0.552)	
Train Epoch-0   Iter-175/706	loss 0.7538 (0.6838)	accu 0.500 (0.557)	
Train Epoch-0   Iter-200/706	loss 0.6878 (0.6639)	accu 0.625 (0.581)	
Train Epoch-0   Iter-225/706	loss 0.5370 (0.6511)	accu 0.750 (0.599)	
Train Epoch-0   Iter-250/706	loss 0.5304 (0.6352)	accu 0.625 (0.616)	
Train Epoch-0   Iter-275/706	loss 0.6898 (0.6170)	accu 0.500 (0.633)	
Train Epoch-0   Iter-300/706	loss 0.3818 (0.6091)	accu 0.875 (0.645)	
Train Epoch-0   Iter-325/706	loss 0.2285 (0.5999)	accu 0.875 (0.655)	
Train Epoch-0   Iter-350/706	loss 0.5146 (0.5942)	accu 0.750 (0.663)	
Train Epoch-0   Iter-375/706	loss 0.4328 (0.5819)	accu 0.875 (0.674)	
Train Epoch-0   Iter-400/706	loss 0.4768 (0.5794)	accu 0.750 (0.680)	
Train Epoch-0   Iter-425/706	loss 0.2403 (0.5700)	accu 1.000 (0.687)	
Train Epoch-0   Iter-450/706	loss 0.2805 (0.5632)	accu 1.000 (0.695)	
Train Epoch-0   Iter-475/706	loss 0.4884 (0.5535)	accu 0.750 (0.702)	
Train Epoch-0   Iter-500/706	loss 0.4987 (0.5442)	accu 0.625 (0.709)	
Train Epoch-0   Iter-525/706	loss 0.0858 (0.5366)	accu 1.000 (0.716)	
